hospital_id,treatment_id,estimated_cost
1,101,106211
1,102,166963
1,103,140025
1,104,208262
1,105,85150
1,106,195308
1,107,837306
1,108,183275
1,109,169182
1,110,54502
1,111,82246
1,112,12108
1,113,105528
1,114,9534
1,115,124326
1,116,20638
1,117,69311
1,118,195984
1,119,8209
1,120,26207
2,101,39444
2,102,63372
2,103,53366
2,104,78028
2,105,31724
2,106,73719
2,107,313593
2,108,69910
2,109,62364
2,110,22002
2,111,32332
2,112,6237
2,113,40095
2,114,5687
2,115,46303
2,116,8190
2,117,27859
2,118,74560
2,119,4048
2,120,7363
3,101,58322
3,102,90936
3,103,75572
3,104,113952
3,105,48177
3,106,107074
3,107,461090
3,108,101899
3,109,91021
3,110,31995
3,111,45101
3,112,6292
3,113,59148
3,114,6493
3,115,68327
3,116,12456
3,117,38351
3,118,108875
3,119,3658
3,120,14414
4,101,46804
4,102,70666
4,103,61731
4,104,91042
4,105,35952
4,106,84072
4,107,361253
4,108,78148
4,109,70589
4,110,22152
4,111,36310
4,112,6416
4,113,43643
4,114,4469
4,115,55373
4,116,10903
4,117,31066
4,118,82823
4,119,1167
4,120,9206
5,101,19348
5,102,30423
5,103,24488
5,104,36841
5,105,14773
5,106,32792
5,107,145179
5,108,32741
5,109,30787
5,110,7916
5,111,15966
5,112,3571
5,113,18514
5,114,956
5,115,23437
5,116,3663
5,117,12230
5,118,32903
5,119,2928
5,120,5319
6,101,85893
6,102,139217
6,103,116386
6,104,175392
6,105,71569
6,106,163427
6,107,697731
6,108,151240
6,109,137973
6,110,46030
6,111,67980
6,112,13128
6,113,86272
6,114,8388
6,115,104972
6,116,16808
6,117,59407
6,118,163281
6,119,3942
6,120,20026
7,101,44502
7,102,73833
7,103,59841
7,104,90147
7,105,38271
7,106,85361
7,107,367567
7,108,81477
7,109,72369
7,110,26303
7,111,35434
7,112,4468
7,113,46877
7,114,3630
7,115,54937
7,116,9634
7,117,32513
7,118,84772
7,119,3146
7,120,10828
8,101,52790
8,102,80912
8,103,67406
8,104,101668
8,105,40116
8,106,97010
8,107,414830
8,108,91269
8,109,80995
8,110,26749
8,111,42825
8,112,8595
8,113,53216
8,114,6139
8,115,62406
8,116,10224
8,117,34216
8,118,96338
8,119,3789
8,120,11375
9,101,17782
9,102,26534
9,103,23553
9,104,35442
9,105,15542
9,106,30141
9,107,136203
9,108,28867
9,109,25476
9,110,9676
9,111,11803
9,112,3752
9,113,16366
9,114,1534
9,115,19714
9,116,3876
9,117,12669
9,118,30284
9,119,500
9,120,3751
10,101,40581
10,102,64250
10,103,51817
10,104,80769
10,105,33475
10,106,72575
10,107,318102
10,108,68006
10,109,62762
10,110,19566
10,111,33583
10,112,5432
10,113,41161
10,114,5572
10,115,45801
10,116,6510
10,117,27481
10,118,72192
10,119,3556
10,120,10632
11,101,41869
11,102,65452
11,103,56782
11,104,82872
11,105,34333
11,106,79493
11,107,336339
11,108,73372
11,109,66652
11,110,20457
11,111,33923
11,112,6459
11,113,42072
11,114,5616
11,115,52313
11,116,10076
11,117,28124
11,118,78319
11,119,3827
11,120,11554
12,101,48590
12,102,81075
12,103,65565
12,104,100473
12,105,40094
12,106,93440
12,107,393627
12,108,86982
12,109,77620
12,110,27683
12,111,39648
12,112,5215
12,113,50332
12,114,4185
12,115,58097
12,116,9921
12,117,32217
12,118,90456
12,119,3635
12,120,10382
13,101,40619
13,102,65780
13,103,54135
13,104,82762
13,105,33523
13,106,78741
13,107,329756
13,108,69850
13,109,64354
13,110,23931
13,111,34165
13,112,4152
13,113,40668
13,114,4099
13,115,49771
13,116,7709
13,117,29201
13,118,76549
13,119,812
13,120,8034
14,101,20055
14,102,36009
14,103,29841
14,104,44417
14,105,16022
14,106,39092
14,107,172285
14,108,36388
14,109,33012
14,110,10441
14,111,15636
14,112,4032
14,113,19882
14,114,1887
14,115,27129
14,116,6260
14,117,12795
14,118,38396
14,119,3325
14,120,4781
15,101,18077
15,102,26773
15,103,25210
15,104,35415
15,105,15642
15,106,32484
15,107,142793
15,108,30174
15,109,30005
15,110,11206
15,111,12670
15,112,3793
15,113,17012
15,114,2504
15,115,20378
15,116,4643
15,117,13699
15,118,32051
15,119,1239
15,120,6120
16,101,19978
16,102,32248
16,103,26475
16,104,37893
16,105,17011
16,106,35221
16,107,153845
16,108,35370
16,109,32328
16,110,11501
16,111,14255
16,112,2844
16,113,21427
16,114,3905
16,115,23349
16,116,5693
16,117,11590
16,118,34354
16,119,2700
16,120,6423
17,101,21144
17,102,34694
17,103,28036
17,104,40887
17,105,15861
17,106,38844
17,107,167584
17,108,36416
17,109,33380
17,110,10977
17,111,15927
17,112,3437
17,113,19812
17,114,500
17,115,25273
17,116,2771
17,117,13063
17,118,39907
17,119,3115
17,120,5383
18,101,35901
18,102,59382
18,103,50474
18,104,74056
18,105,31456
18,106,71639
18,107,302279
18,108,66429
18,109,60552
18,110,19464
18,111,30768
18,112,5690
18,113,36111
18,114,5257
18,115,44518
18,116,8800
18,117,23909
18,118,69779
18,119,898
18,120,7158
19,101,18582
19,102,30299
19,103,23322
19,104,34543
19,105,12913
19,106,32519
19,107,141455
19,108,32605
19,109,27456
19,110,10667
19,111,12398
19,112,3843
19,113,18617
19,114,3639
19,115,21203
19,116,2897
19,117,12732
19,118,33250
19,119,2766
19,120,3465
20,101,16382
20,102,29054
20,103,24200
20,104,35306
20,105,13638
20,106,34456
20,107,140673
