Sno,Hospital Id,name,State Name,District Name,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities,address,clean,is_nabh_accredited,latitude,longitude,google_rating,google_ratings_total,hospital_tier,hospital_id
1,HOSP7P126164,Shivalik Medical Centre Pvt Ltd,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,9582369518,"IN,MC,MG,MP,SB,SE,SG,SN,SO,SU,",Private(For Profit),Only CGHS,-NA-,-NA-,Hospital Approved for Empanelment,Yes,,"IN, MC, MG, MP, SB, SE, SG, SN, SO, SU","Shivalik Medical Centre Pvt Ltd, GAUTAM BUDDHA NAGAR, UTTAR PRADESH",shivalikmedical,True,28.36837865179533,77.59309989345797,4.5,285,A,1
2,HOSP98G100211,LNM RAILWAY HOSPITAL GORAKHPUR,UTTAR PRADESH,GORAKHPUR,9794840519,"S3,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,S3,"LNM RAILWAY HOSPITAL GORAKHPUR, GORAKHPUR, UTTAR PRADESH",lnmrailwaygorakhpur,False,26.664557122788697,83.35407816582945,4.1,398,B,2
3,HOSP98G112387,ESIC HOSPITAL VARANASI,UTTAR PRADESH,VARANASI,9810159141,"M1,M7,S1,S16,S2,S4,S5,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"M1, M7, S1, S16, S2, S4, S5","ESIC HOSPITAL VARANASI, VARANASI, UTTAR PRADESH",esicvaranasi,False,25.32987225724691,82.99488589886546,4.0,395,B,3
4,HOSP98G112503,esic hospital jajmau kanpur,UTTAR PRADESH,KANPUR NAGAR,8004927498,"M1,M1,M7,M2,S1,S16,S2,S3,S4,S5,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"M1, M7, M2, S1, S16, S2, S3, S4, S5","esic hospital jajmau kanpur, KANPUR NAGAR, UTTAR PRADESH",esicjajmaukanpur,False,26.453437411955377,80.27412965403023,4.2,392,B,4
5,HOSP98G113048,50 BEDDED CH. CRPF. RAMPUR,UTTAR PRADESH,RAMPUR,8551098836,"M1,M7,S1,S16,S4,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"M1, M7, S1, S16, S4","50 BEDDED CH. CRPF. RAMPUR, RAMPUR, UTTAR PRADESH",50beddedchcrpframpur,False,28.806298480086983,79.16568231351174,3.6,142,C,5
6,HOSP98G113727,JEEVAN JYOTI HOSPITAL,UTTAR PRADESH,Raebareli,9427107438,"M1,M7,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"M1, M7","JEEVAN JYOTI HOSPITAL, Raebareli, UTTAR PRADESH",jeevanjyoti,True,26.20338756701769,81.22588864948044,4.7,150,A,6
7,HOSP98G113754,NTPC HOSPITAL TANDA,UTTAR PRADESH,AMBEDKAR NAGAR,9453245841,"M2,S16,S4,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"M2, S16, S4","NTPC HOSPITAL TANDA, AMBEDKAR NAGAR, UTTAR PRADESH",ntpctanda,False,26.39950462882704,82.61150081695219,4.1,380,B,7
8,HOSP98G113756,Dhanwantari Hospital NTPC Rihand,UTTAR PRADESH,SONBHADRA,7440223363,"M1,M7,M2,S16,S3,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"M1, M7, M2, S16, S3","Dhanwantari Hospital NTPC Rihand, SONBHADRA, UTTAR PRADESH",dhanwantarintpcrihand,False,24.4094459171575,83.05245046396783,4.3,219,B,8
9,HOSP98G114178,BHEL JHANSI HOSPITAL,UTTAR PRADESH,JHANSI,9453001108,"M1,M7,M2,S1,S16,S4,S5,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"M1, M7, M2, S1, S16, S4, S5","BHEL JHANSI HOSPITAL, JHANSI, UTTAR PRADESH",bheljhansi,False,25.54814883464446,78.64275477979315,3.8,53,C,9
10,HOSP98G99453,SUB DIVISIONAL RAILWAY HOSPITAL TUNDLA,UTTAR PRADESH,FIROZABAD,9794837501,"M2,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,M2,"SUB DIVISIONAL RAILWAY HOSPITAL TUNDLA, FIROZABAD, UTTAR PRADESH",subdivisionalrailwaytundla,False,27.19894283459838,78.47659062450789,4.1,462,B,10
11,HOSP99G100100,N.E. Railway Divisional Hospital,UTTAR PRADESH,VARANASI,9794843530,"S1,S4,S5,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"S1, S4, S5","N.E. Railway Divisional Hospital, VARANASI, UTTAR PRADESH",nerailwaydivisional,False,25.342553942526,82.9983094154146,4.0,225,B,11
12,HOSP99G90772,Divisional Railway Hospital Moradabad ,UTTAR PRADESH,MORADABAD,9760534514,"M1,M7,M2,S1,S2,S3,S4,",GOI,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,,"M1, M7, M2, S1, S2, S3, S4","Divisional Railway Hospital Moradabad , MORADABAD, UTTAR PRADESH",divisionalrailwaymoradabad,False,28.887533437287466,78.79552685449725,4.1,421,B,12
