S.N.	Reference No.	Name	Acc. No.	Valid From	Valid Upto	Remarks
1	H-2006-0008	B.M. Birla Heart Research Centre, Kolkata, West Bengal, India	H-2006-0001	30 Oct 2025	29 Oct 2029	Renewed on 6th Edition
2	H-2006-0001	Malabar Institute of Medical Sciences Ltd. (Aster MIMS), Calicut, Kerala, India	H-2006-0002	30 Oct 2025	29 Oct 2029	Renewed on 6th Edition
3	H-2006-0018	Kerala Institute of Medical Sciences (KIMS), Trivandrum, Kerala, India	H-2007-0003	03 Nov 2022	02 Nov 2026	Renewed on 5th Edition
4	H-2006-0015	Max Super Speciality Hospital, New Delhi, Delhi, India	H-2007-0004	06 Feb 2022	05 Feb 2026	Renewed on 5th Edition
5	H-2006-0014	Max Super Speciality Hospital ( A Unit of Devki Devi Foundation), New Delhi, Delhi, India	H-2007-0005	06 Feb 2022	05 Feb 2026	Renewed on 5th Edition
6	H-2006-0019	Moolchand Hospital, New Delhi, Delhi, India	H-2007-0006	19 Mar 2022	18 Mar 2026	Renewed on 5th Edition
7	H-2006-0007	Narayana Institute of Cardiac Sciences (Unit of Narayana Hrudayalaya Ltd.), Bangalore, Karnataka, India	H-2007-0007	05 Jun 2022	04 Jun 2026	Renewed on 5th Edition
8	H-2007-0037	Dr L H Hiranandani Hospital, Mumbai, Maharashtra, India	H-2007-0008	14 Sep 2022	13 Sep 2026	Renewed on 5th Edition
9	H-2006-0027	Fortis Hospital, Noida, Uttar Pradesh, India	H-2007-0009	19 Dec 2022	18 Dec 2026	Renewed on 5th Edition
10	H-2007-0034	Sagar Hospitals, Bangalore, Karnataka, India	H-2007-0010	17 Feb 2025	16 Feb 2029	Renewed on 5th Edition
11	H-2007-0039	Manipal Hospitals Private Limited , Bangalore, Karnataka, India	H-2007-0011	20 Dec 2022	19 Dec 2026	Renewed on 5th Edition
12	H-2007-0032	Manipal Hospital, Bangalore, Karnataka, India	H-2008-0012	11 Feb 2023	10 Feb 2027	Renewed on 5th Edition
13	H-2007-0049	Nethradhama Superspeciality Eye Hospital , Bangalore, Karnataka, India	H-2008-0013	27 May 2017	26 May 2020	Shifted to Pre Entry Level
14	H-2006-0023	Lakeshore Hospital & Research Centre Ltd., Kochi, Kerala, India	H-2008-0014	03 Jul 2022	02 Jul 2026	Renewed on 5th Edition
15	H-2006-0031	Baby Memorial Hospital Ltd., Calicut, Kerala, India	H-2008-0015	29 Dec 2025	28 Dec 2029	Renewed on 6th Edition
16	H-2006-0006	Escorts Heart Institute & Research Centre, New Delhi, Delhi, India	H-2008-0016	16 Jun 2024	15 Jun 2028	Renewed on 5th Edition
17	H-2006-0028	Sir Ganga Ram Hospital , New Delhi, Delhi, India	H-2008-0017	16 Jun 2023	15 Jun 2027	Renewed on 5th Edition
18	H-2007-0046	Escorts Fortis Hospital , Jaipur, Rajasthan, India	H-2008-0018	16 Jun 2024	15 Jun 2028	Renewed on 5th Edition
19	H-2008-0060	Fortis Hospital , Mohali, Punjab, India	H-2008-0019	16 Jun 2024	15 Jun 2028	Renewed on 5th Edition
20	H-2006-0024	MGM SevenHills Hospital (A Unit of MGM Health Care Pvt. Ltd.) - (Earlier Certificate issued in the Name of SevenHills Healthcare Private Limited), Visakhapatnam, Andhra Pradesh, India	H-2008-0022	19 May 2023	18 May 2027	Renewed on 5th Edition
21	H-2006-0010	Dharamshila Narayana Superspeciality Hospital, New Delhi, Delhi, India	H-2008-0023	21 Nov 2023	20 Nov 2027	Renewed on 5th Edition
22	H-2008-0071	Chacha Nehru Bal Chikitsalaya, New Delhi, Delhi, India	H-2009-0024	16 Feb 2025	15 Feb 2029	Renewed on 5th Edition
23	H-2007-0058	Kailash Hospital & Research Centre Ltd., Noida, Uttar Pradesh, India	H-2009-0025	16 Feb 2025	15 Feb 2029	Renewed on 5th Edition
24	H-2007-0036	G. Kuppuswami Naidu Memorial Hospital, Coimbatore, Tamil Nadu, India	H-2009-0026	12 Mar 2023	11 Mar 2027	Renewed on 5th Edition
25	H-2008-0084	Sterling Hospitals, Ahmedabad, Gujarat, India	H-2009-0027	08 May 2025	07 May 2029	Renewed on 5th Edition
26	H-2007-0052	Amrita Institute of Medical Sciences, Kochi, Kerala, India	H-2009-0028	03 Jun 2025	02 Jun 2029	Renewed on 5th Edition
27	H-2008-0078	Apollo Speciality Hospitals, Madurai, Tamil Nadu, India	H-2009-0029	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
28	H-2008-0063	Paras Hospitals, Gurgaon, Haryana, India	H-2009-0030	01 Jul 2025	30 Jun 2029	Renewed on 5th Edition
29	H-2008-0081	Wockhardt Hospitals Ltd., Nagpur, Maharashtra, India	H-2009-0031	01 Jul 2025	30 Jun 2029	Renewed on 5th Edition
30	H-2008-0072	P D Hinduja National Hospital & Research Centre, Mumbai, Maharashtra, India	H-2009-0032	01 Jul 2025	30 Jun 2029	Renewed on 5th Edition
31	H-2008-0082	N.M. Virani Wockhardt Hospital, Rajkot, Gujarat, India	H-2009-0033	01 Jul 2025	30 Jun 2029	Renewed on 5th Edition
32	H-2008-0091	Godrej Memorial Hospital, Mumbai, Maharashtra, India	H-2009-0034	01 Jul 2025	30 Jun 2030	Renewed on 5th Edition
