Sno	Hospital Id	Hospital Name	State	District	Hospital Contact	Specialities Selected	Hospital Type	Empanelment Type	Submitted Date	Status Updated Date	Application Status	OnBoarded For Convergence Scheme	Upgraded Specialities	Current Specialities
1	HOSP7P126164	Shivalik Medical Centre Pvt Ltd	UTTAR PRADESH	GAUTAM BUDDHA NAGAR	9582369518	"IN,MC,MG,MP,SB,SE,SG,SN,SO,SU,"	Private(For Profit)	Only CGHS	-NA-	-NA-	Hospital Approved for Empanelment	Yes	NA	"IN, MC, MG, MP, SB, SE, SG, SN, SO, SU"
2	HOSP98G100211	LNM RAILWAY HOSPITAL GORAKHPUR	UTTAR PRADESH	GORAKHPUR	9794840519	"S3,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S3
3	HOSP98G112387	ESIC HOSPITAL VARANASI	UTTAR PRADESH	VARANASI	9810159141	"M1,M7,S1,S16,S2,S4,S5,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S16, S2, S4, S5"
4	HOSP98G112503	esic hospital jajmau kanpur	UTTAR PRADESH	KANPUR NAGAR	8004927498	"M1,M1,M7,M2,S1,S16,S2,S3,S4,S5,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S16, S2, S3, S4, S5"
5	HOSP98G113048	50 BEDDED CH. CRPF. RAMPUR	UTTAR PRADESH	RAMPUR	8551098836	"M1,M7,S1,S16,S4,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S16, S4"
6	HOSP98G113727	JEEVAN JYOTI HOSPITAL	UTTAR PRADESH	Raebareli	9427107438	"M1,M7,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
7	HOSP98G113754	NTPC HOSPITAL TANDA	UTTAR PRADESH	AMBEDKAR NAGAR	9453245841	"M2,S16,S4,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S16, S4"
8	HOSP98G113756	Dhanwantari Hospital NTPC Rihand	UTTAR PRADESH	SONBHADRA	7440223363	"M1,M7,M2,S16,S3,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S16, S3"
9	HOSP98G114178	BHEL JHANSI HOSPITAL	UTTAR PRADESH	JHANSI	9453001108	"M1,M7,M2,S1,S16,S4,S5,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S16, S4, S5"
10	HOSP98G99453	SUB DIVISIONAL RAILWAY HOSPITAL TUNDLA	UTTAR PRADESH	FIROZABAD	9794837501	"M2,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	M2
11	HOSP99G100100	N.E. Railway Divisional Hospital	UTTAR PRADESH	VARANASI	9794843530	"S1,S4,S5,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"S1, S4, S5"
12	HOSP99G90772	Divisional Railway Hospital Moradabad 	UTTAR PRADESH	MORADABAD	9760534514	"M1,M7,M2,S1,S2,S3,S4,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S2, S3, S4"
13	HOSP99G90811	SUB DIVISIONAL RAILWAY HOSPITAL GONDA	UTTAR PRADESH	GONDA	9794842510	"M2,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	M2
14	HOSP99G90845	Divisional railway hospital	UTTAR PRADESH	BAREILLY	9760541505	"M1,M7,S1,S3,S4,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S3, S4"
15	HOSP99G91119	Divisional Railway Hospital DDU	UTTAR PRADESH	CHANDAULI	8081212703	"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,S1,S12,S3,S5,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M2, S8, M7, S7, M3, S1, S12, S3, S5"
16	HOSP99G91222	Divisional Railway Hospital	UTTAR PRADESH	LUCKNOW	9794842505	"M1,M7,S3,S4,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S3, S4"
17	HOSP99G91234	LUCKNOW NORTHERN RAILWAY DIVISIONAL HOSPITAL	UTTAR PRADESH	LUCKNOW	9794833514	"M1,M1,M7,M2,S1,S2,S3,S4,S5,"	GOI	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S2, S3, S4, S5"
18	HOSP9G02311	UCHC INDIRA NAGAR LUCKNOW	UTTAR PRADESH	LUCKNOW	8545007978	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
19	HOSP9G02314	UCHC ALIGANJ	UTTAR PRADESH	LUCKNOW	9453146331	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
20	HOSP9G02349	URBAN COMMUNITY HEALTH CENTER NAWAL KISHOR ROAD HAZRATGANJ LUCKNOW	UTTAR PRADESH	LUCKNOW	9451954718	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
21	HOSP9G02362	UCHC CHANDARNAGAR ALAMBAGH LUCKNOW 	UTTAR PRADESH	LUCKNOW	9532157367	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
22	HOSP9G02397	CHC FAREEDPUR	UTTAR PRADESH	BAREILLY	9368840012	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
23	HOSP9G02442	CHC MALL	UTTAR PRADESH	LUCKNOW	9450712333	"M1,M7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7"
24	HOSP9G02518	BRD HOSPITAL MAHANAGAR LUCKNOW	UTTAR PRADESH	LUCKNOW	9450306166	"M1,M1,M7,M2,S1,S10,S11,S12,S16,S2,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S10, S11, S12, S16, S2, S3, S4, S5"
25	HOSP9G02589	VEERANGANA AVANTI BAI MAHIL HOSPITAL LUCKNOW 226018	UTTAR PRADESH	LUCKNOW	8887531954	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
26	HOSP9G02685	DISTT MMG HOSPITAL GHAZIABAD	UTTAR PRADESH	GHAZIABAD	9958730038	"S12,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S12
27	HOSP9G02694	community helth center	UTTAR PRADESH	LUCKNOW	9559322707	"M1,M7,M2,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S4"
28	HOSP9G02713	chc mohanlalganj	UTTAR PRADESH	LUCKNOW	9956533020	"M1,M7,M2,S1,S3,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S3, S4"
29	HOSP9G02727	rani laxmi bai combiend hospital rajajipuram lucknow	UTTAR PRADESH	LUCKNOW	9415951650	"M1,M1,M7,M2,S1,S16,S2,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S16, S2, S3, S4, S5"
30	HOSP9G02746	URSALA HORSMAN MEMORIAL DISTRICT MALE HOSPITAL	UTTAR PRADESH	KANPUR NAGAR	8423155881	"M1,M1,M7,M2,M8,S1,S12,S3,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, M8, S1, S12, S3, S5"
31	HOSP9G02748	AHM DUFFERIN FEMALE HOSPITAL	UTTAR PRADESH	KANPUR NAGAR	9415042627	"M2,M3,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, M3, S4"
32	HOSP9G02781	Dr Shyama Prasad Mukherjee Hospital	UTTAR PRADESH	LUCKNOW	9889156882	"M1,M1,M7,M2,M8,S1,S10,S11,S12,S2,S3,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, M8, S1, S10, S11, S12, S2, S3, S5"
33	HOSP9G02797	Community Health Centre Gosaiganj	UTTAR PRADESH	LUCKNOW	7905567518	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
34	HOSP9G02804	CHC MURADNAGAR	UTTAR PRADESH	GHAZIABAD	6396772332	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
35	HOSP9G02805	URBAN COMMUNITY CENTRE 	UTTAR PRADESH	LUCKNOW	7007348587	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
36	HOSP9G02819	URBAN COMMUNITY CENTRE TURIYAGANJ	UTTAR PRADESH	LUCKNOW	9621519140	"M2,S16,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S16, S4"
37	HOSP9G02821	UCHC SILVER JUBLEE	UTTAR PRADESH	LUCKNOW	7054611610	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
38	HOSP9G02822	URBAN COMMUNITY  HEALTH CENTRE AISHBAGH 	UTTAR PRADESH	LUCKNOW	9838505525	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
39	HOSP9G02842	Dr Ram Manohar Lohiya Male Hospital Farrukhabad	UTTAR PRADESH	FARRUKHABAD	8005192779	"M1,M7,M2,S1,S16,S3,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S16, S3, S5"
40	HOSP9G02848	Ram Manohar Lohia Combined Hospital	UTTAR PRADESH	LUCKNOW	6388165727	"M1,M1,M7,M2,M3,M8,S1,S16,S2,S4,S5,S7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, M3, M8, S1, S16, S2, S4, S5, S7"
41	HOSP9G02945	CHC MOHAMMDABAD	UTTAR PRADESH	FARRUKHABAD	8377088707	"M1,M7,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S4"
42	HOSP9G02959	DISTRICT COMBINED HOSPITAL	UTTAR PRADESH	GAUTAM BUDDHA NAGAR	9205974948	"M1,M1,M7,M2,S1,S2,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S2, S3, S4, S5"
43	HOSP9G02974	TB Hospital Thakurganj Lucknow	UTTAR PRADESH	LUCKNOW	9935397520	"M1,M1,M7,M2,S1,S16,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S16, S4, S5"
44	HOSP9G03082	Dr Ram Manohar Lohiya Female Hospital Farrukhabad	UTTAR PRADESH	FARRUKHABAD	9621470607	"M2,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S4"
45	HOSP9G03085	CIVIL HOSPITAL LINJIGANJ FARRUKHABAD	UTTAR PRADESH	FARRUKHABAD	9628034211	"M1,M1,M7,S1,S16,S3,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, S1, S16, S3, S4"
46	HOSP9G03193	District Hospital	UTTAR PRADESH	SITAPUR	8004942031	"M1,M1,M7,M2,M8,S1,S16,S2,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, M8, S1, S16, S2, S5"
47	HOSP9G03195	District Women Hospital	UTTAR PRADESH	SITAPUR	8004942012	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
48	HOSP9G03280	COMBINED DISTRICT HOSPITAL SANT KABIR NAGAR	UTTAR PRADESH	Sant Kabir Nagar	9919004487	"M1,M7,M2,M3,S1,S16,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, M3, S1, S16, S3, S4, S5"
49	HOSP9G03411	DISTRICT WOMEN HOSPITAL ETAWAH	UTTAR PRADESH	ETAWAH	9412157128	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
50	HOSP9G03555	CHC BHARTHANA	UTTAR PRADESH	ETAWAH	9520440848	"S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S4
51	HOSP9G03584	LOK BANDHU RAJNARAYAN COMBINED HOSPITAL	UTTAR PRADESH	LUCKNOW	9936713782	"M1,M1,M7,M2,S1,S16,S2,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S16, S2, S3, S4, S5"
52	HOSP9G03690	MANYVAR KANSHIRAM COMBINED HOSPITAL AND TRAUMA CENTER	UTTAR PRADESH	KANPUR NAGAR	9935258600	"M1,M1,M7,M3,S1,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M3, S1, S3, S4, S5"
53	HOSP9G03708	Balrampur Hospital Lucknow	UTTAR PRADESH	LUCKNOW	7408404601	"M1,M1,M2,S8,M1,M7,M1,S7,M2,M8,S1,S10,S11,S12,S13,S16,S2,S3,S5,S7,S8,S9,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M2, S8, M7, S7, M8, S1, S10, S11, S12, S13, S16, S2, S3, S5, S9"
54	HOSP9G03712	Cummunity heath center Jaswantnagar	UTTAR PRADESH	ETAWAH	9927865090	NA	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	-NA-
55	HOSP9G03729	Veerangana Jhalkari Bai Women Hospital	UTTAR PRADESH	LUCKNOW	7753811010	"M2,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S4"
56	HOSP9G03852	District Women Hospital 	UTTAR PRADESH	MEERUT	9410101416	"M3,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M3, S4"
57	HOSP9G03859	100 Beded Combined Hospital Chhibramau Kannauj	UTTAR PRADESH	KANNAUJ	9452433100	"S3,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S3
58	HOSP9G03865	COMBINED DISTRICT HOSPITAL KANNAUJ	UTTAR PRADESH	KANNAUJ	9454455303	"M1,M7,M2,S1,S16,S2,S3,S4,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S16, S2, S3, S4, S5"
59	HOSP9G03931	district hospital male agra	UTTAR PRADESH	AGRA	9458748074	"M1,M1,M7,M2,M5,M8,S1,S16,S2,S3,S5,S6,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, M5, M8, S1, S16, S2, S3, S5, S6"
60	HOSP9G04099	District Male Hospital Mahoba	UTTAR PRADESH	MAHOBA	6387967737	NA	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	-NA-
61	HOSP9G04171	DISTRICT WOMEN HOSPITAL	UTTAR PRADESH	HATHRAS	9719589273	"M1,M7,M2,S1,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S4"
62	HOSP9G04196	BAGLA JOINT DISTRICT HOSPITAL	UTTAR PRADESH	HATHRAS	8126313233	"M1,M7,M8,S1,S2,S3,S5,S7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M8, S1, S2, S3, S5, S7"
63	HOSP9G04198	DIVISIONAL DISTRICT HOSPITAL AZAMGARH	UTTAR PRADESH	AZAMGARH	6307233823	"M1,M7,M2,S1,S10,S11,S12,S16,S2,S3,S5,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M1, M7, M2, S1, S10, S11, S12, S16, S2, S3, S5"
64	HOSP9G04226	District Women Hospital Azamgarh	UTTAR PRADESH	AZAMGARH	9519119720	"M2,S4,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	"M2, S4"
65	HOSP9G04521	District Female Hospital	UTTAR PRADESH	MAHOBA	9415542312	"S7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S7
66	HOSP9G04553	CHC RATH	UTTAR PRADESH	HAMIRPUR	7985994902	"S7,"	Public	PMJAY	-NA-	-NA-	Hospital Approved for Empanelment	No	NA	S7
